ConsumerID,ConsumerName,MobileNumber,EmailID,Address,CropNeeded,QuantityNeeded,MaxPrice,DeliveryPreference
C024,Ashok,9693682580,consumer24@gmail.com,"Mangalore, Karnataka",Carrot,32 kg,23,Pickup
C025,Kiran Kumar,9675725743,consumer25@gmail.com,"Mangalore, Karnataka",Lettuce,17 kg,31,Pickup
C026,Lakshmi Devi,9105290581,consumer26@gmail.com,"Mysore, Karnataka",Onion,11 kg,23,Pickup
C027,Priya Sharma,9151526942,consumer27@gmail.com,"Mysore, Karnataka",Lettuce,22 kg,44,Pickup
C028,Vikram Das,9827587823,consumer28@gmail.com,"Belgaum, Karnataka",Tomato,12 kg,39,Pickup
C029,Sita Rani,9647361363,consumer29@gmail.com,"Gulbarga, Karnataka",Carrot,33 kg,29,Home delivery
C030,Kiran Kumar,9677085170,consumer30@gmail.com,"Shimoga, Karnataka",Tomato,15 kg,29,Pickup
C031,Divya,9894482191,consumer31@gmail.com,"Bidar, Karnataka",Lettuce,34 kg,22,Pickup
C032,Priya Sharma,9825548781,consumer32@gmail.com,"Mysore, Karnataka",Lettuce,11 kg,59,Home delivery
C033,Kiran Kumar,9971656945,consumer33@gmail.com,"Bangalore, Karnataka",Carrot,40 kg,58,Home delivery
C034,Ashok,9788212055,consumer34@gmail.com,"Gulbarga, Karnataka",Onion,10 kg,24,Pickup
C035,Priya Sharma,9643308698,consumer35@gmail.com,"Belgaum, Karnataka",Onion,25 kg,50,Home delivery
C036,Ananya Rao,9327168848,consumer36@gmail.com,"Hubli, Karnataka",Potato,33 kg,34,Home delivery
C037,Ashok,9162402206,consumer37@gmail.com,"Belgaum, Karnataka",Potato,13 kg,46,Pickup
C038,Divya,9347280729,consumer38@gmail.com,"Bidar, Karnataka",Lettuce,13 kg,58,Pickup
C039,Raghavendra,9925314535,consumer39@gmail.com,"Bidar, Karnataka",Carrot,17 kg,55,Home delivery
C040,Manoj Gowda,9637657194,consumer40@gmail.com,"Mysore, Karnataka",Tomato,11 kg,37,Home delivery
C041,Raghavendra,9150869364,consumer41@gmail.com,"Hubli, Karnataka",Onion,30 kg,55,Pickup
C042,Ramesh Kumar,9321670394,consumer42@gmail.com,"Mangalore, Karnataka",Lettuce,16 kg,55,Home delivery
C043,Divya,9132297279,consumer43@gmail.com,"Shimoga, Karnataka",Tomato,25 kg,53,Home delivery
C044,Raghavendra,9464427773,consumer44@gmail.com,"Hubli, Karnataka",Lettuce,16 kg,42,Home delivery
C045,Sita Rani,9808723077,consumer45@gmail.com,"Bangalore, Karnataka",Potato,11 kg,55,Pickup
C046,Manoj Gowda,9127629341,consumer46@gmail.com,"Gulbarga, Karnataka",Carrot,35 kg,21,Home delivery
C047,Priya Sharma,9944326919,consumer47@gmail.com,"Gulbarga, Karnataka",Lettuce,18 kg,41,Home delivery
C048,Kiran Kumar,9809520678,consumer48@gmail.com,"Shimoga, Karnataka",Lettuce,36 kg,26,Home delivery
C049,Ashok,9894970108,consumer49@gmail.com,"Mangalore, Karnataka",Carrot,19 kg,36,Home delivery
C050,Priya Sharma,9432251241,consumer50@gmail.com,"Gulbarga, Karnataka",Carrot,35 kg,42,Pickup
